Szerző:,Cím:,Abstract:,Kezwords-Szerző:,Keywords-GPT:,Évfolyam:
Iuhos Imola,OpenGL application for smartphone,"Abstract
The topic of my thesis is to create a smartphone application based on OpenGL.
OpenGL (Open Graphics Library) is a partially developed standard that covers an
API that makes it possible to manage the graphics card and program two- and three-
dimensional graphics through a simple, standard interface. OpenGL is a tool that pro-
grammers enjoy using because it allows almost direct control of the graphics card, three-
dimensional shapes can be easily drawn, and the rendering method can be controlled.
In today’s world, people are increasingly visual, their attention is drawn to what
pleases the eye, what is interesting, exciting, new, modern. We all want to gather new
experiences, enrich ourselves with new experiences and use modern technology.
That’s exactly why I chose OpenGL, because I wanted to implement an application
that would give children a fun opportunity to assess their knowledge of the Bible. In
addition to deepening knowledge, an important goal was to provide children with a play
experience. Since children are very visual, we have found virtual reality to be the most
ideal way to capture the interest of 7-12 year olds and deepen and expand their Bible
knowledge.
OpenGL gave me a simple, nice and quickly implementable help to achieve my goal.
In this dissertation, I will briefly introduce the Unity programming platform, the
Google Cardboard virtual reality program, and the application I created.",,"OpenGL, Smartphone application, Graphics card, Three-dimensional graphics, Virtual reality, ",2023
Hegyi Benjamin,Using the Monte Carlo algorithm in the game Battleship,"Abstract
The Monte Carlo algorithm is a popular computational technique used in many fields
such as physics, finance and computer science. One of the prominent applications of the
Monte Carlo algorithm is in game-playing artificial intelligence. Monte Carlo algorithms
are useful in AI games because they can simulate and evaluate different moves, allowing
the AI to select the best move based on the results of the simulation. In this paper, we
investigate the use of the Monte Carlo algorithm in the game Battleship and its strengths
and weaknesses.","Monte Carlo algorithm, Minimax algorithm, Alpha-Beta pruning, MonteCarlo Tree Search","Monte Carlo algorithm, Game playing artificial intelligence, Battleship, Simulation, AI games, ",2023
Koncz Krisztian,Musical hide and seek,"Abstract
Summary The theme of my bachelor’s thesis is the development of a web application
which helps getting to know old and new acquaintances through their musical taste.
The musical taste of a person reveals a lot about their personality. Furthermore, if
we know somebody’s musical taste it is easier to start a conversation which is useful in
the early stages of a friendship.
Such an application, together with get to know you games, is a very good icebreaker,
because it can be funny to get to know somebody through music. In addition, we can get
acquainted with musical genres or songs previously unknown to us.
The online interface enables us to play even when we are not in the same location.
We can get closer to our colleagues during online classes or online work",,"Web application, Musical taste, Personality, Icebreaker, Online interface, ",2023
Bodor Benjamin,The magic of logic: steps to make puzzle games,"Abstract
Elements that contribute to the user experience and motivation of games include puzzle
games, animations, visualizations, interactions and character design itself. These important
componentsnotonlymakethegameaestheticallyappealing,butalsoensureactiveparticipation
and enjoyment for the player.
Puzzle games are exciting challenges that require creative thinking and problem-solving
skills to solve. The varied tasks encourage the player to take logical steps, combining and
matching different elements or objects to reach a solution.
Animationsandvisualizationsadddynamismandlivelinesstothegame.Thesemovements,
transitions and spectacular effects make the game world more realistic and immersive, capturing
the player’s attention. Animations help to keep the characters and their environment in motion,
adding to the interactivity and enjoyment of the game.
Interaction is one of the most important elements of the game experience, as it allows
the player to actively participate in the game world. The player’s actions and choices affect
the gameplay and story. Interaction gives the player the opportunity to control the character,
manipulate the environment and explore the possibilities of the game.
The pixel art style gives the game a unique and easily recognizable visual identity. The
appearance and attributes of characters influence the emotional connection and identification
of players with them, and the pixel art style provides a unique aesthetic experience that evokes
the atmosphere of retro games and brings back memories of the past.
These elements combine to make the game enjoyable and motivating. Interaction, inter-
esting puzzle games, animations, visualizations and good character design play a key role in
enhancing the user experience and motivating players. It is important to emphasize that the
lack of these elements, which are closely linked to the interactivity and interest of the games,
can reduce the attractiveness of the game and do not motivate the user to continue playing.","puzzle games, animation, visualization, interaction, character design, pixelart","Puzzle games, Animations, Visualizations, Interactions, Character design, ",2023
Portik Andrea,CONNECTIVE: Application to connect mentor and mentee,"Abstract
The topic of my thesis is a mobile application that connects mentors and a mentees.
Nowadays,wewanttoreacheverythingeasilyandquicklybothinourprivatelifeand
at work, and smartphones also contribute to this, as they greatly facilitate our everyday
tasks. But in a new environment or place, in order to be able to carry out the work
smoothly, it is good if someone shows us what we actually have to do. We can perform
more effectively if we have concrete goals and their corresponding specifications and
priorities.
There are two types of users in the project, mentor and mentee, who are connected
in an Android mobile application. The application allows mentors to create tasks for a
user after logging in. In addition, mentors have the option to add new members to the
group.
And the mentees are informed about the activities related to them after logging into
the application. Just like the mentors, to mentees also have the opportunity to modify
and view the tasks. The goal of the project is not for the mentor to be able to monitor
the mentee, but only guidance is the main guiding principle.
The developed application enables users to display and modify their own personal
data. All this in order to establish more connections between the mentor and the mentee,
thus facilitating more efficient work.","mentor, mentee, connect, Android application.","Mobile application, Mentors, Mentees, Android, Tasks, ",2023
Szabo Zoltan,Genetic algorithms in pattern recognition,"Abstract
Nowadays,patternrecognitionprogramsplayanincreasinglyimportantrole.Pattern
recognition programs can be used in everyday life, such as in the case of snapchat filters,
but can also be used in agriculture, such as a drone program that examines the health
of plants. Nowadays, neural networks are used in pattern recognition, but they also have
several disadvantages. These problems include high storage usage and teaching costs.
In my thesis, I present the use of genetic algorithms in pattern recognition. I present
the concept of the genetic algorithm and give an example of how it works. Then I present
the genetic algorithm I use, which I built around attribute chains in order to create a
pattern recognition program.
In my thesis, I compare a polygon in an input image with a certain predefined set
of polygons and examine which polygon is included in the input polygon. I perform the
search with a genetic algorithm, so that I examine a fitness value over several generations,
and then the member with the best value becomes the solution. I get the members in
each generation by crossing and mutating the members of the previous generation and
by using elitism on the previous generation.",,"Pattern Recognition, Neural Networks, Genetic Algorithms, Agriculture, Fitness Value, ",2023
Incze Zsolt Tamas,Kitchn: A Recipe Application for Modern Food Enthusiasts,"Abstract
The topic of my thesis is to develop a comprehensive application focusing on food
recipes, cooking, and gastronomy. As we know, cooking is a subject that everyone has a
direct or indirect connection to, so the target audience is very broad.
The purpose of the application is to provide easy access to the best and most diverse
recipes, as well as to inspire users to explore new dishes. The application’s intuitive user
interface and wide range of features allow users to easily browse, search, and save recipes,
as well as share their own culinary creations and opinions with the rest of the community.
The chosen technology, the Flutter framework, is a relatively new player in the
market that emphasizes cost and time efficiency. This is complemented by Firebase in
the background, which provides various services such as a database and authentication
processes. In the thesis, I will present this cross-platform technology in detail, discussing
its advantages, disadvantages, and important considerations during its usage.
This application is currently runnable on devices using iOS and Android systems,
as well as the admin interface on any web browser. It utilizes the same codebase and
dependencies. The application may have different appearances on different platforms,
making use of native elements, but the average user won’t notice any difference compared
to an application developed in native environment.
Finally, conclusions will be drawn regarding when it is advisable to use this tech-
nology and when it is not, as well as the advantages and disadvantages that users may
derive from using the application.",,"Food recipes, Gastronomy, Application, Flutter framework, Cross platform technology, ",2023
Siko Mark Levente,MuresTracker - City issue tracker,"Abstract
The topic of my paper is MuresTracker, a software that enables city residents to
report issues and facilitates efficient management of these problems by city authorities.
City administrations face numerous challenges on a daily basis that impact the quality
of life for residents. Potholes, malfunctioning streetlights, crime, safety concerns, and
similar issues are present in the daily lives of residents, and their dissatisfaction is not
always expressed in the most appropriate places. Therefore, cities require effective tools
for tracking and addressing problems.
MuresTracker addresses this problem by providing a platform for residents to report
issues and track their status, while also enabling city officials to confront and resolve
these problems. The website serves as a valuable tool for improving communication,
increasing civic engagement, monitoring and managing problems, and promoting more
efficient urban services. It offers a wide range of user-friendly reporting and tracking
capabilities and can have a positive impact on residents’ lives and the efficiency of cities.
The application allows registered regular users to add and view problems reported
by others in the city, including details, location, and who and when they were resolved.
Users with administrator roles are responsible for directing problems of a certain category
to the appropriate department. Additionally, they have insight into user information and
can modify or deactivate users in case of inappropriate behavior.","city, issues, web application, spring boot.","MuresTracker, City residents, Issues reporting, City management, Urban services, ",2023
Balazs Endre,The interactive adventures of UnitTiby: The role of algorithmic games in education,"Abstract
The topic of my paper is the role of algorithmic games in education. Nowadays, stu-
dents are growing up alongside digital technologies, using smartphones, playing computer
games, and actively participating in the online world. Compared to previous decades,
forms of entertainment have undergone significant changes, greatly influencing modern
education. Teachers need to employ new methods and techniques to sustain interest and
stimulate further learning. Gamification, or the use of game elements, is a very impor-
tant component of modern education and can provide an effective solution to changing
teaching needs.
I conducted a research study among students in Transylvania, where I gathered their
opinions on the usefulness of various game elements in relation to learning. These game
elements are all associated with gamification.
Based on my own experiences, educational games can greatly assist the learning
process. Their greatest advantage is that they allow learning useful things in a highly en-
joyable and playful manner. My goal was to create an educational game that incorporates
the game elements found to be advantageous in my research.
The purpose of the game I developed is to help users grasp the basics of the C pro-
gramming language. The protagonist of the game is a university student named UniTiby,
whomtheusercancontrol.Beforeeachtask,theplayerreceivesthenecessaryinformation
to solve the given level. Each lesson is accompanied by a maze. The user is presented with
questions and tasks that require decision-making, but by utilizing the new information,
they can navigate through the maze.
The main objective of the educational game is to avoid monotony, which is why it
features highly diverse environments. Environmental elements also appear randomly.","gamification, game elements, educational game, randomness, variety","algorithmic games, gamification, education, digital technologies, learning",2023
Fekete Daniel,Scientific journal rankings according to categories,"Abstract
In today’s rapidly evolving digital landscape, the need to stay connected and in-
formed has become more crucial than ever. The accessibility and usability of websites
play a significant role in facilitating efficient information retrieval and knowledge sharing.
Therefore, the primary focus of this thesis is to investigate the creation of a website that
is user-friendly and intuitive. This website aims to provide extensive rankings of academic
journals using the SCimago Journal Rank (SJR) database and its associated metrics. We
can edit scientific journals, or more precisely, we can add important information that is
not included in the database used, such as the academic year in which it was published,
or the title of the scientific article. The search results can be saved as PDF files for con-
venient access later on. Furthermore, visitors also have the opportunity to contribute to
the website’s database by adding new journals, thereby helping to expand the range of
available information. In order to gain access to the data on the website, visitors are
requested to register, enabling them to perform searches and contribute new information.
The primary objective of this thesis is to present a step-by-step guide to building a
website that is easily accessible to users worldwide, ensuring a seamless browsing experi-
ence. Throughout this research, I will explore a variety of methodologies and techniques
implemented during the development phase, offering insights into the underlying tech-
nologies that were utilized. Furthermore, this thesis aims to shed light on the evaluation
criteria employed to establish the journal ranking system within the website. By analyz-
ing and processing relevant data, the ranking methodology will be delineated, providing
users with a reliable and informed basis for their academic endeavors.
Next,Iwillproceedtooutlinetheassessmentstandardsemployedintheconstruction
ofthewebsite’sknowledgebase,specificallypertainingtotherankingofscientificjournals.
Subsequently, I will examine the website’s design and functionality from both the user’s
and developer’s perspectives.
Finally, I will thoroughly investigate the measures implemented to ensure the web-
site’s accessibility for all users, regardless of their abilities",,"Website usability, Academic journals, SCimago Journal Rank (SJR) database, User registration, Accessibility measures, ",2023
